period,day,mean_car_pct,ci_lo_pct,ci_hi_pct,n_events
selection_2005_2014,10,0.2884889388484834,-0.16534837809974867,0.7349337450179777,4803
selection_2005_2014,11,0.2776978976744702,-0.2182936097491984,0.7692230822677922,4803
selection_2005_2014,12,0.2868404109660901,-0.22789416143411684,0.8029097670454937,4803
selection_2005_2014,13,0.3661944922589275,-0.18276647872966947,0.9015521759593916,4803
selection_2005_2014,14,0.40084777054129417,-0.173805714254583,0.9632236479383611,4803
selection_2005_2014,15,0.3807508081806709,-0.24855443121518506,0.9796907708278523,4803
selection_2005_2014,16,0.42046638499966965,-0.2099567996085295,1.0149023908173151,4803
selection_2005_2014,17,0.5161642528280266,-0.0750712513054492,1.0959658652454047,4803
selection_2005_2014,18,0.5653879507587743,-0.011584963307167457,1.149595511041057,4803
selection_2005_2014,19,0.6017045755366189,0.010551935139103982,1.192476860186543,4803
selection_2005_2014,20,0.6632643984746082,0.09792179462621414,1.2502024249601909,4803
selection_2005_2014,21,0.6812919801998266,0.0773240782143689,1.2925976097474998,4803
selection_2005_2014,22,0.7556059448356857,0.16995133038168214,1.385867388963887,4803
selection_2005_2014,23,0.8476768540698506,0.2474567402605352,1.4932595169862315,4803
selection_2005_2014,24,0.8812678736604928,0.27483856838547693,1.5463577186754034,4803
selection_2005_2014,25,0.844242676480849,0.23316263249010521,1.5085801478656036,4803
selection_2005_2014,26,0.8889599805466888,0.2752578077278143,1.5456290853430144,4803
selection_2005_2014,27,0.951852024360191,0.3352884112777414,1.605825173034186,4803
selection_2005_2014,28,0.9410235233120776,0.3401733248612461,1.5897026076885974,4803
selection_2005_2014,29,1.1236963347335358,0.49411419682682967,1.7816324369036827,4803
selection_2005_2014,30,1.185462941911623,0.5379459604735412,1.864437754367642,4803
selection_2005_2014,31,1.261696368842656,0.5991511899994773,1.9311114036003156,4803
selection_2005_2014,32,1.3458080495376743,0.6667425868211039,2.0593059971259624,4803
selection_2005_2014,33,1.3484384742290456,0.6302816677624625,2.1024792804883696,4803
selection_2005_2014,34,1.4423919767970144,0.712628422110773,2.2173103888288765,4803
selection_2005_2014,35,1.5265405934219298,0.7603236112775569,2.3320520976863035,4803
selection_2005_2014,36,1.6341674459498765,0.8297645494222995,2.460614617208415,4803
selection_2005_2014,37,1.6188923496011742,0.7990512115101677,2.467969526373915,4803
selection_2005_2014,38,1.6723735347005102,0.8371615304516159,2.5365325479772713,4803
selection_2005_2014,39,1.7125436375094294,0.8500929671928068,2.6108310383639517,4803
selection_2005_2014,40,1.764617558433124,0.8757579616975943,2.6819093493421873,4803
selection_2005_2014,41,1.7612152172174018,0.8536551694252862,2.7205034092264246,4803
selection_2005_2014,42,1.7754284461366194,0.8614289888418445,2.754600292394635,4803
selection_2005_2014,43,1.755328978910501,0.7927667209756261,2.7973729310417044,4803
selection_2005_2014,44,1.787199408088104,0.789416737803586,2.8613604285671674,4803
selection_2005_2014,45,1.7222316018383872,0.6775964646012764,2.8077300149974804,4803
selection_2005_2014,46,1.6947842398024164,0.623169991743557,2.828805077708995,4803
selection_2005_2014,47,1.7069620138867494,0.5884802946868891,2.874564356446118,4803
selection_2005_2014,48,1.610437319965716,0.45871730182022763,2.795013482248987,4803
selection_2005_2014,49,1.5585050109269125,0.421832130032592,2.7233886419612454,4803
selection_2005_2014,50,1.5210496216986535,0.3660675435346294,2.7222559160043125,4803
selection_2005_2014,51,1.615711219398452,0.39173152679199,2.8324731482163434,4803
selection_2005_2014,52,1.6260846028947662,0.36410257157695886,2.85034907905149,4803
selection_2005_2014,53,1.5325328628182209,0.28127864688193355,2.7843441037506693,4803
